अ	[सं.] ना.
अग्निश्री	नाम [सं.]
अग्निष्टोम	नाम [सं.]
अग्निष्ठ	नाम [सं.]
अग्निष्वात्त	नाम [सं.]
अग्निसंस्कार	नाम [सं.]
अग्निसखा	नाम [सं.]
अग्निसाइर कृष्णासवरन	नाम
अग्निसाक्षी	नाम [सं.]
अग्निसात्	नाम [सं.]
अग्निसार	नाम [सं.]
अग्निसूचक यन्त्र	नाम [सं.]
अग्निसेवन	नाम [सं.]
अग्निस्थापना	नाम [सं.]
अग्निहोत्र	नाम [सं.]
अग्निहोत्री	नाम [सं.]
अग्नेली	नाम
अग्नै	क्रियाविशेषण
अग्नौडा	क्रियाविशेषण
अग्न्यस्त्र	नाम [सं.]
अग्न्यागार	नाम [सं.]
अग्न्याध्यान	नाम [सं.]
अग्न्याशय	नाम [सं. अग्नि+आशय]
अग्न्युत्पात	नाम [सं.]
अग्पाडो	नाम
अग्यानु	नाम
अग्यारी	नाम [था.]
अग्य्रालो	विशेषण [बहु./ति. अग्र्याला, स्त्री. अग्य्राली]
अग्र	विशेषण [सं.]
अग्रक	विशेषण [सं.]
अग्रकर	नाम [सं.]
अग्रकाय	नाम [सं.]
अग्रकारी	विशेषण [सं.]
अग्रगण्य	विशेषण [अग्र+गण्य]
अग्रगण्यता	नाम [अग्रगण्य+ता]
अग्रगत	विशेषण [अग्र+गत]
अग्रगति	नाम [सं.]
अग्रगामी	विशेषण
अग्रज	नाम [सं.]
अग्रजङ्घा	नाम [सं.]
अग्रजन्मा	विशेषण [सं.]
अग्रजा	नाम [सं.]
अग्रजिह्वा	नाम [सं.]
अग्रणी	विशेषण [सं. अग्र+नी]
अग्रतः	क्रियाविशेषण [सं.]
अग्रतम	विशेषण [सं.]
अग्रतर	विशेषण [सं.]
अग्रता	नाम [अग्र+ता]
अग्रदर्शी	विशेषण [सं.]
अग्रदीप	नाम [सं.]
अग्रदूत	नाम [सं.]
